sequence,fps,frames,left_arm__shape_mean_deg,left_arm__elbow_p95_deg,left_arm__upper_ori_p95_deg,left_arm__hand_ori_p95_deg,left_arm__limit_occupancy,left_arm__limit_longest_frames,left_arm__limit_longest_sec,left_arm__score,left_arm__status,right_arm__shape_mean_deg,right_arm__elbow_p95_deg,right_arm__upper_ori_p95_deg,right_arm__hand_ori_p95_deg,right_arm__limit_occupancy,right_arm__limit_longest_frames,right_arm__limit_longest_sec,right_arm__score,right_arm__status,waist__torso_ori_mean_deg,waist__torso_ori_p95_deg,waist__limit_occupancy,waist__limit_longest_frames,waist__limit_longest_sec,waist__score,waist__status,sequence_status,repair_region
gJS_sBM_c01_d01_mJS0_ch10,30.0,359,8.884815025135246,19.259956263222772,12.256541691869632,20.173865957013046,0.48746518105849584,82,2.7333333333333334,0.2793112689609924,GOOD,9.655496724292082,14.551437465373526,9.90392622958066,14.983032956121304,0.4233983286908078,65,2.1666666666666665,0.0,GOOD,6.182788036170056,10.884632980471608,0.41225626740947074,88,2.933333333333333,0.27984173337841695,GOOD,GOOD,none
gKR_sBM_c01_d28_mKR0_ch01,30.0,359,13.552087148686734,10.182440619737875,12.934463213125689,10.988578787244519,0.0,0,0.0,0.10484522960308756,GOOD,12.694723796087635,7.3735668083025425,8.430111446699717,9.281688947404769,0.0,0,0.0,0.0,GOOD,5.424396169271535,14.241370313483626,0.2395543175487465,12,0.4,0.41332178990686597,GOOD,GOOD,none
gKR_sBM_c01_d28_mKR0_ch02,30.0,359,12.502189758491843,9.132585647280699,12.03799016845632,11.4082136793399,0.0,0,0.0,0.0,GOOD,12.65754745534828,6.202530209405315,12.447551473798512,12.233532108593167,0.0,0,0.0,0.0,GOOD,2.800352776944705,5.241794245997512,0.0,0,0.0,0.0,GOOD,GOOD,none
gKR_sBM_c01_d28_mKR0_ch05,30.0,359,12.304793281433469,21.86663859699052,10.598780756185095,9.146314062457607,0.008356545961002786,3,0.1,0.0,GOOD,13.283965318449171,18.444025327792023,9.111334161932145,10.445170076988184,0.0,0,0.0,0.04118916681083736,GOOD,6.461428340322896,13.70679149072133,0.403899721448468,12,0.4,0.5433205377219643,GOOD,GOOD,none
gKR_sBM_c01_d28_mKR0_ch06,30.0,359,14.49490855043317,10.791204357892786,8.206426353732065,10.546505094640466,0.0,0,0.0,0.3620061982358009,GOOD,13.591295752300264,6.934780451424048,7.954617028792129,9.78289535702424,0.0,0,0.0,0.11292197043325838,GOOD,5.013100474743801,10.053134406167308,0.08635097493036212,12,0.4,0.025291122742158372,GOOD,GOOD,none
gKR_sBM_c01_d28_mKR0_ch07,30.0,359,14.586491311399216,17.71793929701983,8.91804920197939,9.185854411411176,0.0,0,0.0,0.386986021006541,GOOD,14.184165789331647,21.561863631261083,10.08048388760829,10.823777832849194,0.0,0,0.0,0.520399343486005,GOOD,6.194214404643311,14.611293279123553,0.2757660167130919,9,0.3,0.5689111069167145,GOOD,GOOD,none
gKR_sBM_c01_d28_mKR0_ch08,30.0,359,26.096090390714647,46.64385133344789,79.96368499927512,41.7201344213626,0.3816155988857939,37,1.2333333333333334,7.658667974396273,FAIL,25.94883010670625,41.1611224570236,83.02423400155315,49.94950173661538,0.27298050139275765,38,1.2666666666666666,8.293592864339265,FAIL,12.201087775765101,23.17190557774658,0.6434540389972145,34,1.1333333333333333,2.2202280626106194,GOOD,FAIL,both_arms
gKR_sBM_c01_d28_mKR0_ch10,30.0,359,15.442811476123664,28.95219803030349,20.96056754134763,21.400277967653995,0.0,0,0.0,0.9956874132999249,GOOD,15.499488886656797,25.831931191421617,20.838725768809702,19.181538663156264,0.0,0,0.0,1.2013037201900152,GOOD,2.6338008542794347,4.178172436266376,0.0,0,0.0,0.0,GOOD,GOOD,none
gLH_sBM_c01_d16_mLH0_ch01,30.0,359,11.328864026622039,13.553470663336542,19.497276828409976,15.420571931218237,0.0,0,0.0,0.12338755680410055,GOOD,13.679998642551473,16.035011633989857,16.49763733486457,15.056088644555073,0.0,0,0.0,0.15639315053788233,GOOD,2.8516021046616697,5.144912320551603,0.0,0,0.0,0.0,GOOD,GOOD,none
gLH_sBM_c01_d16_mLH0_ch02,30.0,359,11.994605121806211,12.103918135973137,15.599186706803653,14.987366485476029,0.0,0,0.0,0.0,GOOD,13.50561383023643,9.147754982635206,13.905213622369864,12.607210014112654,0.0,0,0.0,0.08735887763914123,GOOD,3.224089016710833,5.4123923451312494,0.0,0,0.0,0.0,GOOD,GOOD,none
gLH_sBM_c01_d16_mLH0_ch03,30.0,359,12.616902231832881,22.093481459628062,11.955313049558615,10.210668044151971,0.0,0,0.0,0.0,GOOD,15.710305444273988,20.424380251858054,14.061061901012227,10.254403409239792,0.0,0,0.0,0.8988744928715969,GOOD,6.097724417677027,10.141163976803762,0.033426183844011144,6,0.2,0.20850629407961344,GOOD,GOOD,none
